,Nama Lokasi,Jam Login,Nama,Email,No Telpon,Tahun Lahir,Merek HP,Minat Digital,Tipe Lokasi
0,Jakarta Barat,2025-03-13 17:41:21.835145,Koko Sirait,carlasuryono@example.org,+62 (107) 022-1426,1990,Lainnya,Low Interested,Lainnya
1,Kab. Bekasi,2025-03-18 04:11:27.036916,"Dwi Pertiwi, S.H.",gunartofebi@example.org,(0157) 468 6418,1992,Xiaomi,Middle Interested,Perkotaan
2,Lampung Selatan,2025-02-25 22:58:35.396144,Ade Waskita,jwijaya@example.org,(0190) 491-5714,1998,Lainnya,High Interested,Lainnya
3,Bekasi,2025-01-25 22:57:12.076683,Hasna Lazuardi,virmanardianto@example.net,+62 (112) 592 4991,1987,Apple,Middle Interested,Perdesaan
4,Cikampek,2025-01-31 11:34:37.815981,"KH. Caturangga Prabowo, S.Gz",jane80@example.net,+62 (0164) 430 4845,2003,Samsung,High Interested,Perkotaan
5,Lampung Timur,2025-04-11 10:27:56.591838,Keisha Utama,dabukkejayadi@example.org,+62 (06) 689 0608,1997,Samsung,High Interested,Perkotaan
6,Lampung Selatan,2025-04-20 00:56:41.374357,Drs. Kawaca Pradana,elvinamangunsong@example.net,+62-79-940-6052,1994,Apple,Low Interested,Lainnya
7,Balikpapan,2025-02-16 10:26:34.683369,R. Paris Simbolon,rafidsuryono@example.org,+62 (070) 048-3278,1987,Lainnya,High Interested,Perkotaan
8,Lampung Selatan,2025-03-20 21:30:43.885448,Nrima Purnawati,adityabudiyanto@example.net,(0729) 387-0845,1996,Apple,Low Interested,Perdesaan
9,Cikampek,2025-01-20 02:22:32.874476,Himawan Mandasari,purwaanggraini@example.com,+62-0995-226-4005,1989,Oppo,High Interested,Perkotaan
10,Ngawi,2025-03-28 06:58:42.209266,Elma Setiawan,kuswoyodagel@example.com,+62 (369) 649-8887,1988,Redmi,Low Interested,Perdesaan
11,Cikampek,2025-03-10 19:56:16.391131,Cagak Pangestu,yuni32@example.net,(0526) 574 7386,1996,Lainnya,Middle Interested,Perdesaan
12,Yogyakarta,2025-04-13 06:51:18.505188,Puspa Kusumo,emas53@example.net,+62-812-778-4415,1999,Samsung,Low Interested,Perkotaan
13,Bekasi,2025-01-18 08:15:46.929993,Padmi Salahudin,ymegantara@example.net,+62-62-168-7968,1987,Oppo,Middle Interested,Perdesaan
14,Kab. Bekasi,2025-04-07 19:09:48.728472,"Aswani Marbun, M.Farm",siraitmahesa@example.org,+62 (55) 258-9829,1989,Lainnya,Low Interested,Perkotaan
